순번,분류,이름,런치,디너,예약,소재지,Latitude,Longitude,링크
151,엔트리급,스시이젠,"70,000","90,000",캐치테이블,서울 용산구 한강대로 95 지하2층 247호,37.5287967,126.9671806,"https://map.naver.com/v5/search/%EC%8A%A4%EC%8B%9C%EC%9D%B4%EC%A0%A0/place/1879398574?c=14133695.0103129,4513193.2825555,16,0,0,0,dh"
152,미들급,스시사이카쿠,"60,000","110,000",확인필요,서울 용산구 한강대로30길 25 B1층 115호 사이카쿠,37.5277242,126.9689913,https://naver.me/xEM6fQSx
153,엔트리급,스시쵸우,"50,000","70,000",확인필요,서울 용산구 한남대로27가길 10,37.5375656,127.0031414,"https://map.naver.com/v5/search/%EC%8A%A4%EC%8B%9C%EC%B5%B8%EC%9A%B0/place/317189796?c=14137460.7667062,4514311.1128509,15,0,0,0,dh"
154,미들급,스시고코로,"55,000","130,000",확인필요,서울 용산구 한남대로 60 금호리첸시아 A동 1층,37.5342512,127.0079105,"https://map.naver.com/v5/search/%EC%8A%A4%EC%8B%9C%EA%B3%A0%EC%BD%94%EB%A1%9C/place/37874113?c=14137529.9993414,4513874.0498386,14,0,0,0,dh"
155,미들급,스시사찌,"65,000","130,000",전화,서울 용산구 한남대로21길 20 2층,37.5338912,127.0061366,"https://map.naver.com/v5/search/%EC%8A%A4%EC%8B%9C%EC%82%AC%EC%B0%8C/place/1447537602?c=14137429.6757418,4513205.2258412,12,0,0,0,dh"
156,엔트리급,스시우메,"60,000","80,000",확인필요,서울 용산구 이촌로 319 현대아파트,37.5186483,126.9823443,"https://map.naver.com/v5/search/%EC%9A%B0%EB%A9%94/place/19872934?c=14135155.6741503,4511738.5903609,14,0,0,0,dh"
157,엔트리급,스시아메,"55,000","75,000",확인필요,서울 용산구 한남대로 60 금호리첸시아 A동 1층,37.5342512,127.0079105,"https://map.naver.com/v5/search/%EC%8A%A4%EC%8B%9C%EC%95%84%EB%A9%94/place/31311393?c=14137850.0793974,4514208.4618374,14,0,0,0,dh"
158,엔트리급,현스시,"60,000","80,000",확인필요,서울 용산구 이촌로 319,37.5186483,126.9823443,"https://map.naver.com/v5/search/%ED%98%84%EC%8A%A4%EC%8B%9C/place/37662577?c=14134711.3839234,4511604.8255614,14,0,0,0,dh"
159,미들급,긴스시,"60,000","130,000",확인필요,서울 용산구 이촌로 319 현대아파트 31동상가 110호,37.5186483,126.9823443,"https://map.naver.com/v5/search/%EA%B8%B4%EC%8A%A4%EC%8B%9C/place/31229525?c=14135155.6741503,4511554.6637616,15,0,0,0,dh"
160,미들급,스시사이,"60,000","120,000",확인필요, 서울 용산구 이촌로64길 26 spe빌딩2층,37.5198092,126.9699075,"https://map.naver.com/v5/search/%EC%8A%A4%EC%8B%9C%EC%82%AC%EC%9D%B4/place/728568371?c=14133861.1679438,4511965.4288362,14,0,0,0,dh"
161,미들급,스시노아야,"98,000","198,000",확인필요,서울 용산구 한남대로 91 나인원한남 고메494 지하2층,37.5363276,127.0034928,"https://map.naver.com/v5/search/%EC%8A%A4%EC%8B%9C%EB%85%B8%EC%95%84%EC%95%BC/place/1205918105?c=14137967.1530894,4514220.2834752,17,0,0,0,dh"
162,미들급,스시상남,"100,000","200,000",캐치테이블/전화,서울 용산구 이태원로55나길 6 지하1층,37.5366108,126.9991304,"https://map.naver.com/v5/search/%EC%8A%A4%EC%8B%9C%EC%83%81%EB%82%A8/place/1021353403?c=14137011.9205389,4514178.0698854,15,0,0,0,dh&placePath=%3Fentry%253Dbmp"
163,엔트리급,스시야츠,"35,000","50,000",네이버예약 / 캐치테이블,서울 송파구 법원로 128 sk v1 gl메트로시티 B동 132-1호,37.5145437,127.1065971,"https://map.naver.com/v5/search/%EC%8A%A4%EC%8B%9C %EC%95%BC%EC%B8%A0/place/1323967765?c=14150541.0147499,4507183.4212066,15,0,0,0,dh"
164,엔트리급,달팽이식당,"33,000","A : 60,000 / B : 90,000",확인필요,서울 송파구 문정로 59,37.4869634,127.1290512,"https://map.naver.com/v5/search/%EB%8B%AC%ED%8C%BD%EC%9D%B4%EC%8B%9D%EB%8B%B9/place/37491622?c=14151030.6894623,4506800.0417366,15,0,0,0,dh&placePath=%3F%2526"
165,엔트리급,스시윤,"50,000","80,000",확인필요,서울 송파구 석촌호수로 188 114호,37.5061888,127.0980112,"https://map.naver.com/v5/search/%EC%8A%A4%EC%8B%9C %EC%9C%A4/place/1025868859?c=14148350.0189938,4509976.3585604,16,0,0,0,dh"
166,엔트리급,스시작,"40,000","80,000",확인필요,서울 송파구 양재대로71길 13,37.5103724,127.1252162,"https://map.naver.com/v5/search/%EC%8A%A4%EC%8B%9C%EC%9E%91/place/126709007?c=14150591.4855346,4510492.9755055,14,0,0,0,dh"
167,엔트리급,스시우미 잠실,"50,000","90,000",캐치테이블,서울 송파구 잠실로 209 KT송파빌딩 업무동 2층,37.5130506,127.0915464,"https://map.naver.com/v5/search/%EC%8A%A4%EC%8B%9C%EC%9A%B0%EB%AF%B8/place/1866846193?c=14148528.9793966,4511027.4539419,15,0,0,0,dh&placePath=%3Fentry%253Dbmp"
168,엔트리급,스시세이류,"50,000","90,000",네이버예약,서울 송파구 올림픽로35가길 9 지하 1층 B35호,37.513265,127.101133,https://naver.me/FPseXASv
169,미들급,스시다원,"50,000","120,000",네이버예약 / 캐치테이블,서울 송파구 삼전로12길 6 1층,37.5063242,127.0906397,"https://map.naver.com/v5/search/%EC%8A%A4%EC%8B%9C%EB%8B%A4%EC%9B%90/place/1867458154?c=14146735.8839355,4509923.2109392,14,0,0,0,dh"
170,엔트리급,코우리,"50,000","90,000",전화 / 네이버,서울 송파구 백제고분로 75 올림피아빌딩 지하1층 114호,37.5099324,127.0791835,"https://map.naver.com/v5/search/%EC%BD%94%EC%9A%B0%EB%A6%AC/place/1138249857?c=14145438.8431118,4510516.7922369,15,0,0,0,dh"
171,미들급,스시산,"60,000","120,000",네이버 / 캐치테이블,서울 송파구 석촌호수로 118 잠실청호빌딩 2층,37.507443,127.090043,"https://map.naver.com/v5/entry/place/35957515?c=14147132.4010198,4510078.4736529,15,0,0,0,dh"
172,미들급,코스모스시,"80,000","135,000",네이버예약,서울 송파구 삼전로7길 15,37.5054473,127.0868862,"https://map.naver.com/v5/search/%EC%8A%A4%EC%8B%9C%EC%BD%94%EC%8A%A4%EB%AA%A8/place/1271059159?c=14146953.2517347,4509667.6246258,14,0,0,0,dh"
173,엔트리급,키세츠스시,"39,000","69,000",확인필요,서울 강동구 상암로47길 83 1층,37.5501873,127.1444204,"https://map.naver.com/v5/search/%EC%8A%A4%EC%8B%9C%ED%82%A4%EC%84%B8%EC%B8%A0/place/1883380936?c=14153060.7494440,4515800.2032350,18,0,0,0,dh&placePath=%3F%2526"
174,엔트리급,송하정스시,"30,000","40,000",네이버예약,서울 강동구 상일로 39-8,37.5506604,127.1722283,"https://map.naver.com/v5/search/%EC%86%A1%ED%95%98%EC%A0%95%EC%8A%A4%EC%8B%9C/place/1400532181?c=14155820.4069201,4516142.4245592,14,0,0,0,dh"
175,엔트리급,스시마에,"30,000","55,000",확인필요,서울 강동구 성내로 40 동흔빌딩 1층,37.5288545,127.1245569,"https://map.naver.com/v5/search/%EC%8A%A4%EC%8B%9C%EB%A7%88%EC%97%90/place/38772337?c=14150514.7395214,4513085.7929845,14,0,0,0,dh"
176,엔트리급,시오미스시,"45,000","80,000",확인필요,서울 강동구 고덕로25길 12,37.5552194,127.1365761,"https://map.naver.com/v5/entry/place/1613047535?c=14152345.3121037,4516720.8755107,15,0,0,0,dh"
177,엔트리급,스시미진,"40,000","80,000",네이버예약,서울 강동구 고덕로 385 그라시움4상가 2층 212호,37.5577057,127.1668534,"https://map.naver.com/v5/search/%EC%8A%A4%EC%8B%9C%EB%AF%B8%EC%A7%84/place/1115005413?c=14155552.5936126,4517098.9022554,15,0,0,0,dh&placePath=%3Fentry%253Dbmp"
178,미들급,스시모루,"55,000","110,000",카카오톡 플러스친구 / 전화,서울 강동구 천호대로 1089 신동아 파밀리에 B1 스시모루,37.536533,127.1334367,"https://map.naver.com/v5/search/%EC%8A%A4%EC%8B%9C%EB%AA%A8%EB%A3%A8/place/653149080?c=14151498.8662606,4514165.4660090,14,0,0,0,dh"
179,엔트리급,하얀스시, X ,"90,000",확인필요,서울 송파구 오금로11길 55-8 2층 하얀스시,37.5153657,127.1137915,"https://map.naver.com/v5/search/%ED%95%98%EC%96%80%EC%8A%A4%EC%8B%9C/place/36525771?c=14149755.1465528,4511281.1625198,15,0,0,0,dh"
180,엔트리급,스시비쇼쿠,"50,000","70,000",확인필요,서울 구로구 디지털로34길 55 코오롱싸이언스밸리2차,37.4842333,126.8992725,"https://map.naver.com/v5/search/%EC%8A%A4%EC%8B%9C%EB%B9%84%EC%87%BC%EC%BF%A0/place/51136231?c=14125878.1298422,4506872.8957791,15,0,0,0,dh"
181,엔트리급,상남스시,"25,000","35,000",캐치테이블,서울 동작구 여의대방로24길 64,37.4981715,126.9238203,"https://map.naver.com/v5/search/%EC%83%81%EB%82%A8%EC%8A%A4%EC%8B%9C/place/37691264?c=14128166.9533508,4508781.5929978,14,0,0,0,dh"
182,엔트리급,스시려,"40,000","80,000",전화,서울 관악구 봉천로 456,37.4820814,126.9504444,"https://map.naver.com/v5/search/%EC%8A%A4%EC%8B%9C%EB%A0%A4/place/35395335?c=14131142.7301654,4506521.7631805,14,0,0,0,dh"
